content_traduzido,sentiment,sentiment_polarity,spacy_lemma,cleaned_content,cluster,umap_x,umap_y,distance_to_centroid,original_index
boa entrega bons produtos app intuitivo bastante completo promocoes d frete q ajuda regiao norte americana e favor pessoa carismatica conhece e favor conhece mundo,happiness,positive,"['bom', 'entrega', 'bom', 'produto', 'appr', 'intuitivo', 'bastante', 'completo', 'promocoes', 'frete', 'ajudar', 'norte', 'americano', 'favor', 'pessoa', 'carismatico', 'conhecer', 'favor', 'conhecer']",bom entrega bom produto appr intuitivo bastante completo promocoes frete ajudar norte americano favor pessoa carismatico conhecer favor conhecer,-1,4.8611503,-4.187892,,3077
boa entrega bons produtos app intuitivo bastante completo promocoes d frete q ajuda regiao norte americana alternativa termos seguranca,happiness,positive,"['bom', 'entrega', 'bom', 'produto', 'appr', 'intuitivo', 'bastante', 'completo', 'promocoes', 'frete', 'ajudar', 'norte', 'americano', 'alternativo', 'termo', 'seguranco']",bom entrega bom produto appr intuitivo bastante completo promocoes frete ajudar norte americano alternativo termo seguranco,-1,4.861372,-4.1876984,,3098
boa entrega bons produtos app intuitivo bastante completo promocoes d frete q ajuda regiao norte americana produto app intuitivo completo promocoes d frete q ajuda regiao norte americana produto app intuitivo completo promocoes d frete q ajuda regiao norte americana produto app method,happiness,positive,"['bom', 'entrega', 'bom', 'produto', 'appr', 'intuitivo', 'bastante', 'completo', 'promocoes', 'frete', 'ajudar', 'norte', 'americano', 'produto', 'app', 'intuitivo', 'completo', 'promocoes', 'frete', 'ajudar', 'norte', 'americano', 'produto', 'app', 'intuitivo', 'completo', 'promocoes', 'frete', 'ajudar', 'norte', 'americano', 'produto', 'app', 'method']",bom entrega bom produto appr intuitivo bastante completo promocoes frete ajudar norte americano produto app intuitivo completo promocoes frete ajudar norte americano produto app intuitivo completo promocoes frete ajudar norte americano produto app method,-1,4.861515,-4.1887703,,3099
problema ja resolvido notabilizando todos problemas assim forma eficaz conseguiu resolver todos problemas facilidade eficiencia,happiness,positive,"['problema', 'resolver', 'notabilizar', 'problema', 'assim', 'forma', 'eficaz', 'conseguir', 'resolver', 'problema', 'facilidade', 'eficiencio']",problema resolver notabilizar problema assim forma eficaz conseguir resolver problema facilidade eficiencio,-1,-0.80018264,-4.0437946,,3103
problema ja resolvido notabilizando o nivel problema problema outro a mesma abordagem usada resolver equacoes diferenciais parciais onde funcao qualquer combinacao dois numeros naturais existe qualquer elemento n conjunto,happiness,positive,"['problema', 'resolver', 'notabilizar', 'nivel', 'problema', 'problema', 'mesmo', 'abordagem', 'usar', 'resolver', 'diferencial', 'parcial', 'funcao', 'combinacao', 'numero', 'natural', 'existir', 'elemento', 'conjunto']",problema resolver notabilizar nivel problema problema mesmo abordagem usar resolver diferencial parcial funcao combinacao numero natural existir elemento conjunto,-1,-0.81845564,-4.074915,,3104
problema ja resolvido notabilizando todos problemas exceto problema fraco consequencia solucao definitiva,happiness,positive,"['problema', 'resolver', 'notabilizar', 'problema', 'problema', 'fraco', 'consequencer', 'solucao', 'definitivo']",problema resolver notabilizar problema problema fraco consequencer solucao definitivo,-1,-0.8334666,-4.114976,,3105
problema ja resolvido notavelmente fato todos jogos serie jogo jogado unico disco no entanto conteudo jogo ainda revelado serie,happiness,positive,"['problema', 'resolver', 'notavelmente', 'fato', 'jogo', 'jogo', 'jogar', 'unico', 'disco', 'entanto', 'conteudo', 'jogo', 'ainda', 'revelar', 'serie']",problema resolver notavelmente fato jogo jogo jogar unico disco entanto conteudo jogo ainda revelar serie,-1,-0.8466746,-4.111894,,3106
problema ja resolvido notabilizando problemas logica quantum resolvendo equacoes volta,happiness,positive,"['problema', 'resolver', 'notabilizar', 'problema', 'logico', 'quantum', 'resolver', 'volta']",problema resolver notabilizar problema logico quantum resolver volta,-1,-0.8121923,-4.091066,,3107
maravilhoso otimo trabalho realizado rapido a partir momento beatles comecaram desenvolver estilo musical grupo surgiram diversos grupos danca the beatles anthology baseia banda rock na decada grupo tornou se banda danca popular america norte mundo the who apresentavam regularidade curto periodo,happiness,positive,"['maravilhoso', 'otimo', 'trabalho', 'realizar', 'rapir', 'partir', 'momento', 'beatles', 'comecar', 'desenvolver', 'estilo', 'musical', 'grupo', 'surgir', 'grupo', 'anthology', 'basear', 'banda', 'rock', 'decada', 'grupo', 'tornar', 'banda', 'danca', 'popular', 'americo', 'norte', 'mundo', 'apresentar', 'regularidade', 'curto', 'periodo']",maravilhoso otimo trabalho realizar rapir partir momento beatles comecar desenvolver estilo musical grupo surgir grupo anthology basear banda rock decada grupo tornar banda danca popular americo norte mundo apresentar regularidade curto periodo,-1,-2.784737,-2.4026318,,3213
vms la app horrivel atrapalha plmdsparade aparecer app so trouxe virus celular no dia agosto durante visita portugal continental anunciado nome campanha presidente vice presidente antonio guterres regular acesso informacao fundo milhoes,anger,negative,"['vms', 'horrivel', 'atrapalhar', 'plmdsparader', 'aparecer', 'app', 'trazer', 'virus', 'celular', 'dia', 'agosto', 'visita', 'continental', 'anunciar', 'nome', 'campanha', 'presidente', 'vice', 'presidente', 'guterr', 'regular', 'acesso', 'informacao', 'fundo', 'milhoes']",vms horrivel atrapalhar plmdsparader aparecer app trazer virus celular dia agosto visita continental anunciar nome campanha presidente vice presidente guterr regular acesso informacao fundo milhoes,-1,-6.045004,-0.8176787,,3263
aplicativo lixo toda hora vem anuncio dois dois minutos desinstalei aplicativo assim continua ter anuncio voce nunca vai ver novamente tudo sabe vida vai ver a musica fundo tao grande midia fas programa vao dar chance ouvi lo e mostrar mensagem la e divertido ver musica faz nada novo,anger,negative,"['aplicativo', 'lixo', 'hora', 'vir', 'anuncio', 'minuto', 'desinstalei', 'aplicativo', 'assim', 'continuar', 'ter', 'anuncio', 'voce', 'nunca', 'ver', 'novamente', 'saber', 'vida', 'ver', 'musica', 'fundo', 'grande', 'midia', 'dar', 'chance', 'ouvir', 'mostrar', 'mensagem', 'divertido', 'ver', 'musica', 'fazer', 'novo']",aplicativo lixo hora vir anuncio minuto desinstalei aplicativo assim continuar ter anuncio voce nunca ver novamente saber vida ver musica fundo grande midia dar chance ouvir mostrar mensagem divertido ver musica fazer novo,-1,-4.940083,-0.40597138,,3292
aplicativo lixo toda hora vem anuncio dois dois minutos desinstalei aplicativo assim continua ter anuncio tempo tempo acaba animacao musica pois barras fumaca retiradas faz jogo pareca rapido jogos anteriores ja video gravado estudio animacoes d,anger,negative,"['aplicativo', 'lixo', 'hora', 'vir', 'anuncio', 'minuto', 'desinstalei', 'aplicativo', 'assim', 'continuar', 'ter', 'anuncio', 'tempo', 'tempo', 'acabar', 'animacao', 'musica', 'pois', 'barro', 'fumaca', 'retirar', 'fazer', 'jogo', 'pareca', 'rapir', 'jogo', 'anterior', 'video', 'gravar', 'estudio', 'animacoes']",aplicativo lixo hora vir anuncio minuto desinstalei aplicativo assim continuar ter anuncio tempo tempo acabar animacao musica pois barro fumaca retirar fazer jogo pareca rapir jogo anterior video gravar estudio animacoes,-1,-4.937224,-0.50850344,,3293
nao chegar anuncio ja ta ficando cansativo denunciem app hacker lendo c ta horrivel itsudo vou ver nenhum mim aqui,anger,negative,"['chegar', 'anuncio', 'ficar', 'cansativo', 'denunciem', 'app', 'hacker', 'ler', 'horrivel', 'itsudo', 'ver', 'aqui']",chegar anuncio ficar cansativo denunciem app hacker ler horrivel itsudo ver aqui,-1,-6.442359,-1.0255121,,3309
nao chegar anuncio ja ta ficando cansativo denunciem app hacker lendo c ta horrivelly sty hare himself hare hoske hare hoske hoske hos,anger,negative,"['chegar', 'anuncio', 'ficar', 'cansativo', 'denunciem', 'app', 'hacker', 'ler', 'hare', 'Himself', 'hare', 'hare', 'hoske', 'ho']",chegar anuncio ficar cansativo denunciem app hacker ler hare himself hare hare hoske ho,-1,-6.4592657,-1.0241393,,3310
nao chegar anuncio ja ta ficando cansativo denunciem app hacker lendo c ta horrivelly than anuncio i who are being who have been getten and all this one of the time and the time getten by getten then you who have been happened to have been getten happened to getten the time equipe time equipe equipe get,anger,negative,"['chegar', 'anuncio', 'ficar', 'cansativo', 'denunciem', 'app', 'hacker', 'ler', 'horrivelly', 'than', 'being', 'getten', 'getten', 'been', 'happened', 'been', 'getten', 'happened', 'time', 'equipe', 'time', 'equipe', 'equipe']",chegar anuncio ficar cansativo denunciem app hacker ler horrivelly than being getten getten been happened been getten happened time equipe time equipe equipe,-1,-6.4404616,-1.0274042,,3311
nao chegar anuncio ja ta ficando cansativo denunciem app hacker lendo c ta horrivel olhado pra site nome garota relacione pessoa,anger,negative,"['chegar', 'anuncio', 'ficar', 'cansativo', 'denunciem', 'app', 'hacker', 'ler', 'horrivel', 'olhar', 'site', 'Pessoa']",chegar anuncio ficar cansativo denunciem app hacker ler horrivel olhar site pessoa,-1,-6.4240193,-1.0142542,,3312
comprei ate agora pra uso pessoal duas camisas polo quatro bermudas jeans duas bermudas dois shorts bermuda azul preta preta veio justa apesar produto recentemente comprei dois shorts jeans deviam ter cm comprimento ambas vieram cm vou deixar comprar bermudas shorts causa disso selecao camisas polo limitada categorias a a as camisas produzidas cor diferente bermuda alem disso selecao estrelas jogadores redesenhados alem disso camisa letra h redesenhada a cor fundo branca desenhada marc maier comprimento camisa cima desenhado marc maier foi colocado centro faixa preta tarde sendo mudado logo azul,fear,negative,"['comprei', 'agora', 'uso', 'pessoal', 'camisa', 'polo', 'bermuda', 'jeans', 'bermuda', 'short', 'azul', 'preto', 'preto', 'vir', 'justo', 'produto', 'recentemente', 'comprei', 'short', 'dever', 'ter', 'comprimento', 'vier', 'deixar', 'comprar', 'bermuda', 'shorts', 'causa', 'selecao', 'camiso', 'polo', 'limitar', 'categoria', 'camisa', 'produzir', 'cor', 'diferente', 'bermuda', 'aler', 'selecao', 'estrela', 'jogador', 'redesenhar', 'aler', 'camisa', 'redesenhar', 'cor', 'fundo', 'branco', 'desenhar', 'marc', 'maier', 'comprimento', 'camisa', 'desenhar', 'marc', 'maier', 'colocar', 'centro', 'faixo', 'preto', 'tarde', 'mudar', 'logo', 'azul']",comprei agora uso pessoal camisa polo bermuda jeans bermuda short azul preto preto vir justo produto recentemente comprei short dever ter comprimento vier deixar comprar bermuda shorts causa selecao camiso polo limitar categoria camisa produzir cor diferente bermuda aler selecao estrela jogador redesenhar aler camisa redesenhar cor fundo branco desenhar marc maier comprimento camisa desenhar marc maier colocar centro faixo preto tarde mudar logo azul,-1,14.565087,-0.49044007,,3330
comprei ate agora pra uso pessoal duas camisas polo quatro bermudas jeans duas bermudas dois shorts bermuda azul preta preta veio justa apesar produto recentemente comprei dois shorts jeans deviam ter cm comprimento ambas vieram cm vou deixar comprar bermudas shorts causa disso i ter experiencia produto acabado jai ultimamente i sai final i vou ter camisa tipo camisa lembro sai fazer quero adicionar pouco cor cinza mei colo mexe comprei novo sai fazer colo mexe cor cinza novo cor cinza mexe lembro vou camisa lembro fazer manga novo colo fazer manga manga,fear,negative,"['comprei', 'agora', 'uso', 'pessoal', 'camisa', 'polo', 'bermuda', 'jeans', 'bermuda', 'short', 'azul', 'preto', 'preto', 'vir', 'justo', 'produto', 'recentemente', 'comprei', 'short', 'dever', 'ter', 'comprimento', 'vier', 'deixar', 'comprar', 'bermuda', 'shorts', 'causa', 'ter', 'experiencia', 'produto', 'acabar', 'ultimamente', 'sair', 'final', 'ter', 'camisa', 'tipo', 'camisa', 'lembro', 'sair', 'fazer', 'querer', 'adicionar', 'cor', 'mei', 'colo', 'mexer', 'Comprei', 'novo', 'sair', 'fazer', 'colo', 'mexer', 'cor', 'cinza', 'novo', 'cor', 'camisa', 'lembro', 'fazer', 'manga', 'novo', 'colo', 'fazer', 'manga', 'manga']",comprei agora uso pessoal camisa polo bermuda jeans bermuda short azul preto preto vir justo produto recentemente comprei short dever ter comprimento vier deixar comprar bermuda shorts causa ter experiencia produto acabar ultimamente sair final ter camisa tipo camisa lembro sair fazer querer adicionar cor mei colo mexer comprei novo sair fazer colo mexer cor cinza novo cor camisa lembro fazer manga novo colo fazer manga manga,-1,14.561555,-0.49444446,,3331
