content,sentiment,sentiment_polarity
"Pra mim é o Melhor Shopping Online que surgiu, respeita o cliente consumidor em todos os aspectos, tempo de entrega excelente, vários benefícios, infinidade de lojas e produtos, e ainda é um site super fácil de entender, sem complicações, não trava e tudo funciona muito bem!",happiness,positive
"Serviço de varejo muito bom, o sistema de frete é ótimo e funciona muito bem. Há muitos produtos bons e recomendo que comprem sempre no início de setembro, pois é a data de aniversário da Shopee e tem muitas promoções. Ótimo aplicativo e não tive problemas com nenhuma compra ate agora.",happiness,positive
"Compro sem medo de não receber os produtos. Entrega rápido. O que não estou gostando, é que alguns vezes aparece no app que foi entregue sem ter sido de fato. No outro dia ou dois dias depois é que vem entregar. Fico na dúvida se algum vizinho recebeu e não repassou. Mais não, é um erro mesmo que precisa ser corrigido o mais rápido.",sadness,positive
"Um app muito bom recomendo, sempre comprei e nunca deu nenhum problema, o único defeito é que vc na têm a opção de comprar qualquer coisa de cores diferentes na mesma loja, vc têm que colocar uma de cada vez no carrinho, a shopee poderia colocar essa opção, quantidades e variações, ficaria melhor fazer as compras e ajudaria os clientes nas suas compras, não dou as 5 estrelas por esse motivo chato e que já deveriam ter resolvido isso a tempos.",sadness,positive
"O aplicativo é muito bom, fácil de usar e tem tudo que tipo de produtos até asiático 😄 só me fez muita falta, q podia ser arrumado, que é mais opçãos na hora da compra! Exemplo: eu quero comprar uma máscara facial, tem vários opções, e eu só posso escolher uma na compra, no caso um tipo específico, não posso comprar dois diferentes, só se for dois iguais. Isso podia ser arrumado, não queria fazer duas compras só pra escolher outro tipo.",sadness,positive
"Uma grande variedade de produtos, vendedores atenciosos! O único problema tem sido as entregas, principalmente quando é feita por transportadora, compra nacional demorando muito para ser entregue, na maioria das vezes. Já o retorno com o suporte da Shopee, é rápido e o reembolso quando necessário, é super rápido.",sadness,positive
"Alguns fretes são tão caros que nem o cupom de frete grátis ajuda, em caso de fretes acima R$70,00 deveriam haver cupons de frete gratis de R$40,00 ou ao menos de R$35,00 mas no geral o de R$20,00 resolve ou ajuda. As vezes algum produto vem com problemas e nem sempre percebo no primeiro momento. mas no geral os produtos são bons. A maioria das entregas é rápida, mas algumas demoram bastante. Enfim vale a pena e vou continuar comprando.",sadness,positive
"Tô gostando muito de comprar na shopee.Sinto q ultimamente estão se esforçando pra melhorar cada vez mais o atendimento. Coisas q aconteciam como demorar ou vir faltando itens já não tem acontecido mais. Melhorou muito! E em relação à cupons de frete, facilitou demais esse esquema de frete grátis a partir de 10,00. Tenho comprado com mais frequência agora por causa disso. LOVE SHOPEE",happiness,positive
"A princípio, funcionava tudo muito bem. Tem mais ou menos uns 3 meses que não consigo efetuar compra com nenhum cartão de crédito. Porque ele simplesmente não aparece na hora que escolho a forma de pagamento. Entrei em contato através do chat, eles me deram várias orientações, para tentar resolver: apagar cache, atualizar versão, desinstalar e instalar novamente, tentar usar a conta em outro aparelho e outras coisas mais. Simplesmente não consigo e ninguém resolve. Desisto!",anger,negative
"De longe o melhor app de compras nacional e internacional. Só alguns detalhes que precisam mudar. O mais necessário deles, na minha opinião, é a criação de um ""botão"" para voltar a página incial. Por várias vezes estou navegando por produtos em sequência e quando tento acessar a página, tenho que voltar todos os produtos, ou fechar o app e abrir de novo. Cansativo.",sadness,positive
"Eu vou ter que corrigir minha classificação, a shopee é um ótimo site para compras, mas não tem política de reembolso quando os vendedores enviam mercadoria avariada ou diversa da que foi pedida, não existe a opção de vc fazer a devolução. Inclusive aconteceu de eu comprar um produto e a loja depois ser banida, nesse caso a shopee deveria fazer o reembolso. Então cuidado ao comprar coisas de alto valor. Ainda bem que meus prejuízos foram pequenos.",fear,negative
"Cancelaram duas compras minhas, status do cancelamento, falta de pagamento. Sendo que a compra fora feita na hora através do cartão de crédito, questionei no chat, que é um robô, ninguém para responder algo plausível, dessa vez o motivo foi vendedor inativo por mais de 7 dias, o reembolso caiu apenas uma parte, dessa vez o que o robô registrou foi que o reembolso pode ser feito em dois ciclos. Não compro mais, nunca tive esse problema no Aliexpress, Amazon e Mercado Livre, recomendo.",anger,negative
"Já tive experiência melhor na shopee, antes conseguia comprar de boa com cartão de crédito, agora não consigo mais, sempre dá falha no pagamento. Sem contar que já entrei em contato várias vezes com o suporte da shopee para solicitar o erro e nada é resolvido, parece que estão fazendo de propósito para migrar-mos para o sparcelado.",disgust,negative
"Diante de todas as compras que fiz... app ultimamente deixa a desejar. Vale a pena devido as promoções de compra sem valor minimo mas nem em toda loja funciona e os descontos nos fretes lembrem.se nao existe frete gratis, pra alguém sobra pagar esta conta. Ja tive entregas que chegaram mega rapido, assim como já tive as que deram muita dor de cabeça por demora nos correios ou problemas com as transportadoras que nao tem canal de atendimento. Deve-se prestar muita atenção nas descrições.",fear,negative
"Plataforma totalmente segura, lá se o vendendor demorar a empacotar o seu pedido, a própria chopee notifica avisando que irá devolver o nosso dinheiro, aplicativo muito bom e bem feito, principalmente os cupons de frete grátis que destaca na plataforma, merece todas as estrelas do espaço, nunca tive nenhum tipo de problema recomendo muito a shopee.",happiness,positive
"Até o momento minha experiência com a Shopee tem sido muito boa. Podem melhorar na parte da avaliação, onde temos todo o trabalho de tirar as fotos e gravar o vídeo e o APP da Shopee NÃO SALVA as informações e, se esbarrarmos o dedo sem querer na tecla voltar ou até mesmo se travar na hora de concluir a avaliação, temos que começar tudo novamente! Isto tem que ser revisado pela equipe de TI com a maior urgência para pouparmos tempo e não precisarmos refazer tudo. Fica a dica!",sadness,positive
"Depois dessa última atualização estou tendo problemas com a compra no cartão de crédito! Algumas vezes diz que o pagamento falhou, porém na segunda tentativa o pagamento é concluído. Porém outras vezes o pagamento simplesmente não vai o que acarreta eu cancelando as compras!",disgust,negative
"Até um mês atrás tive uns probleminhas ,mas foi resolvido ,só não gostei de um produto ,os demais eu amei ,mas porém depois que foi aberto a carteira chopppey ,cada vês que um produto que eu comprei e paguei é cancelado pela chopp meu reembolso vai direto pra essa maldita carteira chopppey, que inclusive bloquearam é a quase um mês estou tentando desbloquear e não consigo ,infelizmente a chopp não facilitou em nada no meu problema ,vou fechar o aplicativo chopp ,pra mim chega ..",anger,negative
"O app é bom, já passei por uma muito ruim de um vendedor que me vendeu algo com defeito, não conseguir trocar nem ter meu dinheiro de volta porque não consta na minha conta a compra, fiquei com muita raiva e tenho até hoje. Dou as 5 estrelas porque continuo comprando e não tive mais esse problema, hoje em dia tiro print de tudo. As entregas são rápidas e a mercadoria condiz com anúncio, aconselho sempre a ler muito bem a descrição.",sadness,positive
"Gosto do aplicativo. Para melhorar, gostaria que a Loja tivesse mais itens de informática e eletroeletrônicos como o Aliexpress. Também gostaria que melhorassem a busca por produtos, assim: Eu gostaria que quando eu achar um produto, mas ele é internacional, seria bom ter um botão que fizesse o sistema procurar para mim o mesmo produto, só que de fornecedor NACIONAL. Prefiro não precisar pagar taxa de importação. Em resumo acho muito melhor a Shopee do que o concorrente dela.",sadness,positive
"Uso há meses e até então, tudo corria relativamente bem, nunca tive problemas. Na minha última compra, como faço todas as vezes, tiro os dados do cartão cadastrado logo em seguida. Venho tentando tirar meus dados de cartão de crédito, sem sucesso. Já falei com o suporte que em nada conseguiu me ajudar. É uma pena, não para mim, mas para a Shopee, enquanto isso não se resolver, não compro mais nada.",anger,negative
"Eu amo o app, tem realmente variedades de produtos, mas pra mim os dois únicos problemas é q a maioria dos fretes saem muito pesado, então nem sempre compensa usar um cupom e o frete sair um absurdo de caro. O segundo problema é q se eu fizer compra de 2 3 ou mais eu tenho q pagar pra cada objeto.",sadness,positive
"O que já era ruim, piorou. Desde 9/9 nenhum cupom selecionado aparece para finalizar a compra, todos dentro das regras, até mesmo o cupom de fidelidade ganho ao subir de nível funciona, no chat não tem como enviar print, dá erro e os inúteis dizem que nada podem fazer, se só são garotos de recado, passem o recado para que os que podem fazer alguma coisa, façam. Aliás, chamam aquilo de atendimento, Aliexpress, Amazon, Mercado livre, sempre na frente, shopee só em último caso.",anger,negative
"A shopee não está me dando as moedas no valor da compra,e as vezes nem as da avaliação,conforme vc procura um produto e vai abrindo o app ficando cada vez mais lento a ponto de travar e ter q fechar. Fora as bonificações q quase não existe mais,frete grátis então,quase não tem...aumentou para 39,00 o valor mínimo,muito alto...deixou de ser o melhor para ser igual a qualquer outro app...",anger,negative
"Estou gostando muito do app. Muito prático e fácil de usar, nunca tive problemas com as compras que fiz. Atualizando, ultimamente serviço de rastreamento e logística horrível.",sadness,positive
"O App é bom,porém ultimamente tem estado muito lento, e alguns cupons recebidos são enganosos,por exemplo diz que se vc comprar acima de 29,90 não paga frete,que é mentira. Mas tudo que compro até aqui chega certinho,por isso 4☆",sadness,positive
"Pontos positivos: Facilidade de compra, variedade de produtos e preços acessíveis. Pontos negativos: APP cheio de bugs, muitos travamentos, cupons de frete “fake”. Voce aplica o cupom de frete grátis e ai quando vc escolhe o meio de pagamento o frete volta a ser cobrado, mesmo quando diz que pode ser usado. Isso representa uma tremenda perda de tempo. A maioria das entregas, mesmo nacionais, são super demoradas",anger,negative
"Gosto de comprar, compro bastante! Mas, tenho algumas ressalvas; os vendedores daqui, alguns parecem que não quer vender, as vezes nem responde o que pergunto, e as entregas, quase sempre, são demoradas. Prefiro comprar da China, muito mais barato, vendedores atenciosos e as entregas são rápidas por ser de outro Continente, pena que não dá pra ficar comprando mais por causa da taxa abusiva do governo federal...",sadness,positive
Até q gosto de comprar Na Shopee. Quase não tive problemas. As compras quase sempre chegaram perfeitamente. Mas nos últimos dias as entregas não estão sendo concluídas tendo q pedir devolução de reembolso trazendo transtorno para o cliente. Está havendo muito erro do embalador e o produto q não chega ou produto errado. Fazem reembolso. mas perco muito tempo na espera do meu dinheiro. Mesmo assim gosto muito dos preços baixos e os descontos de frete. Se melhorassem estas questões daria nota 10.,sadness,positive
"Gostando muito, porém, sempre tem algo acontecendo... dessa vez, não tenho conseguido fazer vídeos nas avaliações, as fotos vão de boa, mas o outro não carrega, e não é problema do aparelho, pq consigo fazer vídeos nos outros APPs de compra, mas, notei que as entregas voltaram a ser agilizada e chegam antes do prazo, isso, pra mim, é de suma importância. Por causa desse por menor, a nota, mas, recomendo!",sadness,positive
"Um bom aplicativo, porém o fato de você não saber por quem vai ser feita a entrega é horrível, antes tinha como ver se era transportadora privada ou correios, agora não tem como e isso é horrível, ter que depender do estresse e da demora que os correios tem.",anger,negative
"Era muito bom, hoje em dia apresenta erro de servidor, falhas de carregamento e muita instabilidade, nem imagino se for um smartphone antigo. ",disgust,negative
"Realmente estou vendo melhoras significativas, muito obrigada!!! Amo o app",happiness,positive
"Gosto de comprar na Shopee! 👍🏻👏🏻 A plataforma é fácil de mexer, normalmente tem boas promoções e considero os cupons vantajosos, em especial aqueles das lojas parceiras e os que proporcionam frete grátis com valores de compras a partir de R$ 10,00. ▪︎Obs.: Vantagens até o momento que escrevo a avaliação. ▪︎Aconselho verificar as promos e os cupons com frequência para um melhor aproveitamento. 😉",happiness,positive
"A questão das 4 estrelas é porque a shopee precisa implementar um diferencial do mercado livre, que é a opção do Full, as vezes agente precisa urgente um produto, e na shoppe não tem isso, e a falta de responsabilidade dia vendedores, colocar uma foto de um produto e enviam outro para seus cliente, isso é uma falta de respeito, precisa mudar isso logo... A shoppe em relação de preços, estão de parabéns, mais em conta os preços do q os rivais👏🏻👏🏻👏🏻",sadness,positive
"O frete cobrado está deixando muito a desejar, já foi muito bom, agora certas mercadorias, são baratas, mas o frete sai 3x o valor das mesmas, não compensa! É uma pena! Tenho desistido de comprar muitas coisas. Os dias do mês tipo 10/10q anuncia frete grátis, não pude fazer uma única compra nessa condição, decepcionada!",sadness,positive
"Arrumem esse bug, não dá pra ficar 5 minutos no app! A pessoa navega no app, entra em anúncios similares, e do nada, o app trava. A tela as vezes congela, quando não congela você também não consegue entrar nas coisas clicadas. E não, não é meu aparelho celular, já testei em todos os androids da casa, e é a mesma coisa. Eu já cheguei a comprar coisas em outro app, pra não ter que passar por isso na shopee. Melhorem a experiência cliente x interface/funcionalidade pfvr!",anger,negative
"Está cada vez melhor, pra empatar com a concorrência só falta uma logística que junte todos os pacotes de vendedores diferente em um único pacote e entregue tudo junto. Porquê as vezes compramos vários objetos pequenos de vendedores diferente e temos que ficar a semana toda recebendo pacotes. O mercadolivre tem a opção de recebermos tudo em uma única entrega, isso facilita muito nossa vida, pra não termos que deixar de resolver outras coisas esperando as entregas durante a semana toda.",sadness,positive
"Eh eu gostei muito do aplicativo, antes eu não ligava para isso, aí foi só fazer uma compra e pronto... Me tornei cliente fiel da Shoppe! Não consigo querer comprar em outro aplicativo, é bem fácil de usar, claro tem seus defeitos também, se é que eu posso jogar isso em cima da shoppe, é mais com as transportadoras, tem um certo descaso com os clientes, espero que no futuro tenha em todas as compras o código para receber o objeto. Shoppe me tratou super rápida no meu reembolso, estou satisfeita.",happiness,positive
"Os produtos e preços são muito bons, os gráficos bem detalhados e fáceis de entender, o que deixa a desejar mesmo, é a demora para entregar o a compra, sendo que o mercado livre tem a opção de entregar no mesmo dia, ou no dia seguinte, mas de resto gosto muito da Shoppe!!!",sadness,positive
"Um bom aplicativo, de fácil uso, já fiz várias compras nele, tem um bom suporte, de fácil pagamento, o lado ruim dele é que é difícil de ganhar cupons de descontos não é como o da Shein que você consegue vários cupons, se melhorasse isso ficaria perfeito, afinal eu acho que as compras dele entrega mas rápido que o shein, mas enfim... é bom eu gosto.",sadness,positive
"O app tem muito a melhorar. A começar pela sugestão de produtos, às vezes você pesquisa algo sobre maquiagem e aparecem coisas como ""vibrador"" e outras coisas do ramo. E não tem como você sinalizar que não quer ver produtos daquele tipo. Os jogos travam muito, muito mesmo. Chega a ser irritante.",anger,negative
"Ap muito ruim de entrar, trava muito, para pesquisar e comprar um produto ou mesmo para colocar no carrinho demora, dependendo da hora um 30/40minutos. Tenho outros aplicativos de compras e são todos rápidos, à questão de segundos/minutos. ",disgust,negative
"Em 15/09/2023 estou reavaliando,por estar bem melhor de entrar e comprar pelo AP, tanto para pesquisas e tudo mais de compras e entrega. Perfeito.",happiness,positive
"Em relação às lojas, nunca tive problemas, agora, o serviço de entrega da Shopee é simplesmente horroroso. Os entregadores quando não jogam a mercadoria por cima do portão, deixa com terceiros. Tenho péssimas experiências com o serviço de entrega, e, pelos comentários, muita gente está sendo prejudicada com isso. Decepcionada. Já reclamei várias vezes, mas isso continua.",disgust,negative
"Excelente aplicativo! Apresenta alguns bugs. No mais, possui uma excelente gama de produtos e variação de preços. Os fornecedores em sua maioria são nacionais o que nos confere maior conforto e segurança ao efetuar o pedido ganhando maior velocidade na entrega. Que este app continue crescendo cada vez mais e ajudando muita gente através do custo benefício de seus produtos.",happiness,positive
"Gosto da plataforma de compras, mas o app tem muitos bugs. Já reinstalei e continua tendo erros constantes no carregamento da página. Faz com que eu desista da compra muitas vezes. Frustrante como experiência de usuário.",disgust,negative
"Shopee, quando queria fama, era maravilhoso. Descontos de verdade, cupons que funcionavam de verdade. Hoje em dia, quase nenhum cupom de frete grátis (mesmo os sem valor mínimo) funcionam de verdade. Muito mais vantajoso usar o Aliexpress, Amazon (principalmente pelas vantagens do prime) e até mesmo o Mercado Livre.",anger,negative
"A Shopee me mostrou muitos artistas nacionais nesse período de taxas. É muito bom saber que tem lojas BRs incríveis que vendem produtos de excelente qualidade. Ainda é uma pena essas taxas estarem acabando com nossa liberdade de compra (talvez esse não seja o termo certo, mas sou leiga no assunto). Mas a Shopee vem recompensando isso, fora que o suporte técnico é excelente! São pessoas muito carismáticas e sempre resolvem nossos problemas ou dúvidas.",happiness,positive
Compro a bastante tempo. Pontos a ser corrigidos e; alguns produtos com selo de entrega grátis porém quando você finaliza o pedido eles adiciona um valor que seria da entrega. Outro ponto a melhorar seria do próprio aplicativo que está travando quase sempre.,sadness,positive
"Já foi um bom aplicativo de compra agora está deixando muito a desejar,muito decepcionada pois sempre comprei e gostei mais de uns tempos pra cá vcs tiraram os cupons de frete grátis,colocam qualquer loja pra vender não selecionam as que tem compromisso com o cliente,e não estão fazendo mais promoções que compensam ,voltem com os cupons de frete grátis nos valores mais baixos e olhem bem as lojas que anunciam um produto e mandam outro .Só uma sugestão o app era meu favorito mais tem melhores .",disgust,negative
"Fiz uma compra de um relógio em abril/23, o mesmo só funcionou 1 semana. Abri uma solicitação de reembolso , obedeci todos os passos da devolução do produto, e até hj não realizaram o estorno da compra no meu cartão de crédito. Disseram que em até 2 meses, o crédito voltava. Estou insatisfeita com a política de devolução/reembolso da empresa. Não passa credibilidade na pós venda. No mercado livre isso não acontece. E os atendentes não dão retorno e não sabe o que falar.",anger,negative
"A Shopee é simplesmente incrível! Eu uso este aplicativo regularmente para fazer compras online e estou sempre impressionado com a variedade de produtos disponíveis e os ótimos preços. Além disso, a experiência de compra é suave e conveniente. A entrega é rápida e confiável, e o atendimento ao cliente é excepcional. Eu definitivamente recomendo o Shopee a todos os meus amigos e familiares. Ótimo trabalho, equipe Shopee!",happiness,positive
"Não é mais possível acessar a central do vendedor. O aplicativo não tem opção pra acessar a central de vendedor, e não consigo mais acessar no navegador. Sem a central do vendedor não é possível gerar etiqueta e enviar o pedido. Uma falha grotesca da shopee. É muita bagunça no aplicativo, deveria ter um app exclusivo para vendedores que disponibilizaria as ferramentas necessárias. Mas a shopee não tá nem aí prós vendedores cobrando taxas absurdas e entregando a plataforma as traças!!!",anger,negative
"Péssimo app, cheio de coisas que não faz sentido nenhum, difícil de acompanhar a rotar do seu pedido, interface muito ruim, cheio de cores, paracer app para divertir crianças, e o prazo de entrega nunca respeitado, então resumindo 1 estrela 🌟, eu não recomendo a shoppee. Melhor o mercado livre, eu usei há mais de 4 anos até agora nada à reclamar de mercado livre, é 100 vezes melhor que a shoppee.",anger,negative
"Eu gosto muito da Shopee , sempre tem algumas coisas diferentes e úteis lá , única coisa que agora não está legal é as compras internacionais que estão ficando paradas na alfândega e muitas vezes o valor do imposto brasileiro é maior do que o preço do produto e do frete !! ... mais pra compras nacionais é ótimo !!",sadness,positive
"Bom dia, minha experiência com mais de 80 compras finalizadas na Shpee a mais de ano foi marcada até essa data com quatro compras que deram problemas, uma de 80 reais perdi tentei contato e não obtive o estorno do valor, as outras fui resarcido pelo site e não tive perda. Mas estou gostando e recomendo o Sopee, sinto que a plataforma da Shopp está bem mais melhor que antes..",sadness,positive
"Bom site de compras, mas como faço várias compras, algumas não se mostram satisfatórias. O sistema de atendimento ao consumidor é fraco. Os atendentes não conseguem resolver os problemas on line. E a equipe que fica responsável pelo atendimento posterior também não costuma ser eficaz.",sadness,positive
"Não comprem nada que quebre ou estrague!! Começaram a entregar as coisas jogando no chão, sem tocar interfone, nem bater palma e eu estava em casa. Será que é mto difícil fazer a entrega correta ou meu quintal parece lixão? Infelizmente não comprarei mais nada, pois já fiz duas reclamações e nada fizeram... e foram várias entregas no chão. Sempre ""notificaram o entregador"" mas nada muda. Só na terceira vez me deram um formulário para preencher... serviço de má qualidade!",anger,negative
"Ótimo app com muitas promoções, principalmente de frete grátis. O melhor de todos, da pra por fotos e vídeos das compras nas avaliações, tornando mais fácil pros outros avaliarem se vale a pena comprar aquele produto. Só deviam incluir o modo noturno de tela, branco daquele jeito prejudica a visão. O único problema que eu tenho é culpa dos vendedores, tão demorando demais pra encaminhar os produtos, a gente já tem que esperar os correios e ainda esperar o vendedor deixa a espera mais longa aind",sadness,positive
Estou gostando demais de comprar na shopee. Na shopee tem produtos Ótimos. Sempre que preciso comprar algo corro lá pra ver as opções e eles sempre tem o que estou precisando e com o melhores preços e quase sempre não pago taxa de entrega e isso é tudo de bom facilita muito na hora de fazer as compras 🛍️🛒 Estou gostando muito. Os produtos São entregues com muito capricho sempre bem embaladinhos adoro tudo isso. E é muito fácil comprar na shopee pelo aplicativo. Só posso dizer muito obrigada!!!,happiness,positive
"Gosto muito desse aplicativo, nele você encontra vários produtos (cozinha, roupa, maquiagem, pets, etc) por um preço super acessível, fora os cupons de descontos que pode estar ajudando a diminuir ainda mais o valor da sua compra no total. Todas as minhas entregas chegaram nos dias previsto e meus produtos estavam todos muito bem embalados. Então sim, gosto muito da shopee e super indico para qualquer um! 😘",happiness,positive
"Interface e Design simples de se compreender, extrema variação de produtos e preços ótimos (dependendo do produto). Recomendo a todos, é o App de compras que mais utilizo nos últimos tempos. 🤙",happiness,positive
"Aplicativo poderia ser mais rápido, demora demais para entrar nas loja,ele trava demais, e não é meu celular pois é o único que trava, para fazer a compra e bom. App para compra e ótimo, problema é muito lento, trava demais.",sadness,positive
"Apesar dos travamentos, gosto muito da usabilidade do app, mas nas últimas semanas não tenho conseguido usar, eu abro e ele fecha sozinho toda hora. Já tentei fazer tantas coisas, já desinstalei e instalei de novo, já limpei o cache, já forcei parada, já entrei e saí da minha conta, já fiz de tudo, e mesmo assim continua a mesma coisa. Infelizmente não tá sendo possível nem usar o app",disgust,negative
"O app em sí é ótimo, fácil acesso, rastreamento de correio acessível, as vezes não atualiza o que gera dúvidas, descrição dos produtos, avisos sobre as importações e risco de ser taxado algo que não tinha e atualizaram nas vendas internacionais, mas queria que tivesse mais opções de forma de pagamento, como cartões de débito, tirando isso, após quase um ano de uso, meus pedidos no app e minha experiência com ele estão sendo incríveis.",sadness,positive
"O app é uma ótima opção de compra, a única coisa chata é que tudo que compra a entrega é individual, ex-se compra um lápis numa loja e um batom em outra, chega tudo individual! Tinha que ter um lugar para juntar todos os pedidos da mesma pessoa e mandar todos juntos. Igual a concorrência. Ajudava a gente e o meio ambiente! E o que eu penso. Pó isso não dei 5 estrelas.",sadness,positive
"Alguém do suporte pode ver o que está acontecendo? Depois da última compra, o aplicativo não abre mais. Fica piscando em uma tela branca e preta. Já desinstalei e instalei novamente várias vezes e nada. Tenho alguns pedidos a caminho e preciso resolver isso. Pensei ser o meu celular, mas todos os outros aplicativos estão funcionando normalmente. E o que eu achei estranho, é que ele primeiro me deslogou da minha conta e deixou de abrir no notebook como se fosse uma coisa proporcionada na platafo",fear,negative
"App muito bom. Sempre chega tudo muito bem embalado, só deixa a desejar em algumas entregas, por que tem alguns entregadores que não querem vir entregar no meu bairro, segundo eles, ""é muito lonje"", fora isso gosto muito. As encomendas chegam.bem.embaladas e ainda temos a garantia shopee, que se não recebermos o produto temos o reembolso.",sadness,positive
"Shopee era o melhor aplicativo para loja online mas parece que depois que eu virei cliente VIP da shopee começaram a fracassar,já é a segunda vez que eu faço compras no app e ficam dias sem atualizar aonde está o produto,fica dias em trânsito em cidades que os centros logísticos é próximos e não atualiza de jeito nenhum,eu adorava o aplicativo mas por conta da transportadora estou odiando,simplesmente horrível,melhorem na transportadora,por favor né!? Ou gostam de perder clientes VIP? Indignada",anger,negative
"Hj recompensas diária não funciona, chega em 99% e não abreApp pesado, e sempre com algum tipo de bugDifícil esse app, muita bagunça, agora coisas que eu nunca comprei aparece na aba do que você comprou, dizendo comprei de novo na lojaAcho ruim não poder apagar as coisas que comprei e avaliei com uma estrela, coisas que não vieram certas, mais continua aparecendo na aba de produtos que comprei e não tem como gerenciar isso. O certo seria ter uma lista negra para colocar essas compras ruins lá.",anger,negative
"Sobre o rastreamento de entrega, algumas não funcionam em nenhuma loja de entregas e também se for a própria empresa entregando o pedido como vão confirmar que o pedido foi entregue sendo que o entregador não ligou para o cliente, não pediu assinatura, nem nada. Somente entregou para qualquer pessoa que ver que pode receber o pedido. Entregadores super mal treinados para experiência do cliente. Rastrear o produto pelo próprio aplicativo mas impossivel isso, mesmo obtendo código. Horrível!",anger,negative
"Minha experiência com o app foi incrível. Todos os produtos que eu comprei, não me arrependi de nenhum. É um ótimo app para quem quer economizar uma grana boa e ter diversas decorações, roupas, tênis, tecnologia. O app te retorna o dinheiro caso você não goste do produto e/ou veio com defeito. Muito bom o app! Ele te dá várias lojas virtuais do mesmo produto que vc quer, e ainda tem a loja que é indicada. Você também pode filtrar por preços o produto que vc quer comprar, podem abaixar e comprar",happiness,positive
"App muito fácil de usar. Podemos encontrar TD pra casa, vestuário entre outros. Vou reavaliar com uma estrela por conta das opções de entrega, a plataforma poderia nos dar a opção de escolher a empresa pra realizar a entrega, nunca tive problemas com os Correios mas com as transportadoras sempre acontece algum imprevisto, toda vez é um entregador diferente e não tem rastreamento.",sadness,positive
