content,spacy_lemma,sentiment_polarity,sentiment_polarity_predict
"Ótimo aplicativo com muitas ofertas, ótimos preços e produtos excelentes. Só acho que demora muito para fazer o reembolso quando a compra é cancelada. Agora já está bem melhor, inclusive as entregas estão mais rápidas.","['otimo', 'aplicativo', 'oferta', 'otimo', 'preco', 'produto', 'excelente', 'achar', 'demora', 'fazer', 'reembolso', 'compra', 'cancelar', 'agora', 'bem', 'bom', 'inclusive', 'entrega', 'rapir']",negative,negative
"ODIEI essa atualização das figurinhas!! Ficou confuso, esquisito, uma BAGUNÇA! Em vez de inventarem moda, porque não atualizam coisas que os usuários desde sempre pediram, que é a possibilidade de organizar as figurinhas em pastas a critério de cada um? Além disso, muitas vezes o app não está notificando recebimento de mensagens. Nesses casos, só descubro que recebi nova mensagem quando entro no app! E por último, mas não menos importante: a qualidade das fotos/vídeos que enviamos é HORRÍVEL!!!!","['odiei', 'atualizacao', 'figurinho', 'ficar', 'confuso', 'esquisito', 'baguncr', 'vez', 'inventar', 'moda', 'atualizar', 'coisa', 'usuario', 'sempre', 'pedir', 'possibilidade', 'organizar', 'figurinha', 'pasta', 'criterio', 'aler', 'vez', 'app', 'notificar', 'recebimento', 'mensagem', 'caso', 'descubro', 'recebi', 'novo', 'mensagem', 'entro', 'app', 'ultimo', 'menos', 'importante', 'qualidade', 'foto', 'video', 'horrivel']",positive,positive
"Alguns fretes são tão caros que nem o cupom de frete grátis ajuda, em caso de fretes acima R$70,00 deveriam haver cupons de frete gratis de R$40,00 ou ao menos de R$35,00 mas no geral o de R$20,00 resolve ou ajuda. As vezes algum produto vem com problemas e nem sempre percebo no primeiro momento. mas no geral os produtos são bons. A maioria das entregas é rápida, mas algumas demoram bastante. Enfim vale a pena e vou continuar comprando.","['frete', 'tao', 'caro', 'cupom', 'frete', 'gratis', 'ajudar', 'frete', 'acima', 'dever', 'cupons', 'frete', 'Gratis', 'menos', 'geral', 'resolver', 'ajudar', 'vez', 'produto', 'vir', 'problema', 'sempre', 'percebo', 'primeiro', 'momento', 'geral', 'produto', 'bom', 'maioria', 'entrega', 'rapir', 'demoram', 'bastante', 'enfim', 'valer', 'pena', 'continuar', 'comprar']",negative,negative
"Péssimo atendimento não mim agradou, fiz uma compra errada então cancelei o pedido e fiz o reembolso, no pedido tava falando que o reembolso seria concluído em 24horas então esperei. O reembolso foi concluído mas não caio o dinheiro.","['pessimo', 'atendimento', 'agradar', 'fiz', 'compra', 'errar', 'entao', 'cancelei', 'pedir', 'reembolso', 'pedir', 'tar', 'falar', 'reembolso', 'concluido', 'hora', 'entao', 'esperar', 'reembolso', 'concluido', 'dinheiro']",negative,negative
"ele era bom agora não é mas só dou 5 estrelas quando arrumarem ele, agora ele demora muito pra salvar uma foto ou vídeo, nas fotos era pra ter a remoção de plano de fundo, e demora minuto para salvar um vidio ou uma foto, não era pra ser assim, é pra ser logo q nem era antes, adicionem a remoção de plano de fundo, aí dou 5 estrelas, e retiro o comentário, é falo bem dele, porfavo arrumem.","['bom', 'agora', 'dou', 'estrela', 'arrumar', 'agora', 'demor', 'salvar', 'foto', 'video', 'foto', 'ter', 'remocao', 'plano', 'fundo', 'demora', 'minuto', 'salvar', 'vidio', 'foto', 'assim', 'logo', 'antes', 'adicionem', 'remocao', 'plano', 'dou', 'estrela', 'retiro', 'comentario', 'falo', 'bem', 'porfavo', 'arrumer']",negative,negative
"Não comprem nesse aplicativo por favor!!!! só se for a última opção que você tiver. O meu pedido está atrasado e eu só posso pedir o reembolso quando der 7 dias de atraso, mas o prazo que me deram para pedir o reembolso acaba no sétimo dia, isso é um absurdo!!!!!!!! ou seja, eu não posso esperar dar 7 dias pra pedir o reembolso, tenho que pedir antes, mesmo tendo possibilidade de receber o produto. A entrega padrão é horrível, não tem mais correios e o rastreamento não é confiável.","['compr', 'aplicativo', 'favor', 'pedido', 'atrasado', 'poder', 'pedir', 'reembolso', 'der', 'dia', 'atraso', 'prazo', 'dar', 'pedir', 'reembolso', 'acabar', 'setimo', 'dia', 'absurdo', 'poder', 'esperar', 'dar', 'dia', 'pedir', 'reembolso', 'pedir', 'antes', 'possibilidade', 'receber', 'produto', 'entrega', 'padrao', 'horrivel', 'rastreamento', 'confiavel']",negative,neutral
"O aplicativo é excelente para fazer trabalhos porém não sei qual o problema que ultimamente ele ñ abre no meu celular, antes funcionava perfeitamente, eu já tentei de tudo instalei ,desinstalei, mais sempre que instalo o aplicativo novamente fica dando off_line , eu já tentei de tudo mais sem resultado, pesquisei no Google, asistir vídeos no YouTube, mais nada.","['aplicativo', 'excelente', 'fazer', 'trabalho', 'por', 'saber', 'problema', 'ultimamente', 'abrir', 'celular', 'antes', 'funcionar', 'perfeitamente', 'tentar', 'instalei', 'desinstalei', 'sempre', 'instalo', 'aplicativo', 'novamente', 'ficar', 'dar', 'off', 'line', 'tentar', 'resultado', 'pesquisei', 'google', 'asistir', 'video', 'youtube']",positive,negative
"Acho que o Instagram precisa de pequenos ajustes, no mais, sou fã de carteirinha... apesar de alguns contratempos, o Instagram está se aprimorando. O que é frustrante é ver equívocos dentro da plataforma em se tratando da criminalização de alguns comentários. Muitas vezes fica subentendido que estamos xingando as pessoas... tempos atrás uma promotora foi agredida, e comentei que o agressor deveria receber o mesmo...e estou sensurada pela plataforma... equívoco também palavras língua portuguesa","['achar', 'instagr', 'precisar', 'pequeno', 'ajuste', 'carteirinhar', 'apesar', 'contratempo', 'instagr', 'aprimorar', 'frustrante', 'ver', 'equivoco', 'dentro', 'plataforma', 'tratar', 'criminalizacao', 'comentario', 'vez', 'ficar', 'subentendido', 'xingar', 'pessoa', 'tempo', 'atra', 'promotora', 'agredido', 'comentar', 'agressor', 'dever', 'receber', 'sensurar', 'plataforma', 'equivoco', 'palavra', 'lingua', 'português']",negative,positive
"Aplicativo bem ruim, nunca havia utilizado, quando precisei acessar, meu CPF já estava cadastrado sendo que nunca acessei antes, reconhecimento facial é um loop infinito, não funciona, não possuo cadastro nos bancos indicados, o e-mail e o número de verificação não são meus, e sempre que preencho o formulário e envio a solicitação não consigo resolver meu problema.","['aplicativo', 'bem', 'ruim', 'nunca', 'utilizar', 'precisar', 'acessar', 'cadastrar', 'nunca', 'acessar', 'antes', 'reconhecimento', 'facial', 'infinito', 'funcionar', 'possuo', 'cadastro', 'banco', 'indicar', 'mail', 'numero', 'verificacao', 'sempre', 'preencho', 'formulario', 'envio', 'solicitacao', 'consigo', 'resolver', 'problema']",negative,negative
"sempre gostei do aplicativo, é bem prático e adorava usá-lo. Mas de ontem para hoje vem acontecendo um bug que não me deixa concluir meu trabalho de escola. Quando eu entro no aplicativo ele trava na tela inicial e logo depois sai do aplicativo. Tentei desinstalar, mas não adiantou, foi só eu colocar minha conta e aconteceu novamente. estou bem triste e pelo visto vou ter que trocar de aplicativo.","['sempre', 'gostar', 'aplicativo', 'bem', 'pratico', 'adorar', 'usar', 'ontem', 'hoje', 'vir', 'acontecer', 'bug', 'deixar', 'concluir', 'trabalho', 'escola', 'quando', 'entro', 'aplicativo', 'trar', 'tela', 'inicial', 'logo', 'sair', 'aplicativo', 'tentar', 'desinstalar', 'adiantar', 'colocar', 'conta', 'acontecer', 'novamente', 'bem', 'triste', 'ver', 'trocar', 'aplicativo']",negative,negative
"Este app ñ tem muitos filtros, e nem ao menos querer responder um comentário em vídeo não aparece , muitas configurações ele não tem eu acho que deveria ter mesma qualidades que o tik tok Kit","['app', 'filtro', 'menos', 'querer', 'responder', 'comentario', 'video', 'aparecer', 'configuracoes', 'achar', 'dever', 'ter', 'mesmo', 'qualidade', 'tok']",negative,positive
"Até hoje não tive problemas com a Shein app super prático,os valores das peças são ótimos. Sempre avisam quando acontece atrasos nas entregas na plataforma mesmo. Eu sempre acompanho o rastreio no próprio app e mais o rastreador dos correios. Até agora só elogios por isso 5 estrelas.","['hoje', 'problema', 'shein', 'super', 'pratico', 'valor', 'peca', 'otimos', 'sempre', 'avisar', 'acontecer', 'atraso', 'entrega', 'plataforma', 'sempre', 'acompanho', 'rastreio', 'proprio', 'rastreador', 'agora', 'elogio', 'estrela']",positive,negative
"Ultimamente está tendo muito bug no app, principalmente nos dias de fechamento de fatura, ou a tela fica tremendo ou aparece o valor de duas faturas (atual e anterior) somadas. Precisa otimizar esse app urgente!!!!","['ultimamente', 'app', 'principalmente', 'dia', 'fechamento', 'fatura', 'telo', 'ficar', 'tremer', 'aparecer', 'valor', 'fatura', 'atual', 'anterior', 'somada', 'precisar', 'otimizar', 'app', 'urgente']",negative,positive
"sobre compra qd,embargao e vcs não reembolsado perdi duas compras isso è muito errado termos que pagar por duas vezes o produtos ,sendo que qd,chega no correio tem que pagar pra retirar um absurdo isso","['compra', 'embargao', 'reembolsar', 'perdi', 'compra', 'errar', 'termos', 'pagar', 'vez', 'produto', 'chegar', 'correio', 'pagar', 'retirar', 'absurdo']",positive,positive
"O app é ótimo, as ropas são perfeitas etc, porém recentemente quando eu aperto em ""finalizar comprar"", não tá aparecendo a aba de ""confirmação de pedido"" pula logo pra outra aba que é a de ""endereço para envio"", espero que esse problema seja resolvido.","['app', 'otimo', 'ropa', 'perfeito', 'etc', 'por', 'recentemente', 'aperto', 'finalizar', 'comprar', 'ta', 'aparecer', 'abar', 'confirmacao', 'pedir', 'pular', 'logo', 'aba', 'endereco', 'envio', 'esperar', 'problema', 'resolver']",positive,positive
"De umas semanas pra cá, tem acontecido alguns bugs. Você desliza o feed, ele pisca e volta pro início pelo menos duas vezes. Acabo sempre perdendo o que estava olhando.","['semana', 'acontecer', 'bugs', 'deslizar', 'feed', 'pisca', 'volta', 'inicio', 'menos', 'vez', 'acabo', 'sempre', 'perder', 'olhar']",negative,negative
"Muito bom aplicativo para vc se divertir ,pra fazer vídeos ,para interagir com outros,e principalmente pode até ajudar complementar s renda...e dá até Love","['muito', 'bom', 'aplicativo', 'divertir', 'fazer', 'video', 'interagir', 'principalmente', 'poder', 'ajudar', 'complementar', 'renda']",positive,positive
"As encomendas estão demorando cada vez mais. Fiz uma compra a 1 mês e ainda nem chegou a ser postada. E não posso pedir reembolso. Outra, já está atrasada a mas de 10 dias. Fora o baile","['encomenda', 'demorar', 'vez', 'fiz', 'compra', 'mes', 'ainda', 'chegar', 'postar', 'poder', 'pedir', 'reembolso', 'atrasar', 'dia', 'ser', 'baile']",negative,negative
"Horrível o reconhecimento facial, faz 3 dias que estou tentando e, por mais que eu cumpra todos os requisitos, dificilmente aprova a imagem. Solicito uma calibragem melhor da ferramenta, pois gera perca de tempo.","['horrivel', 'reconhecimento', 'facial', 'fazer', 'dia', 'tentar', 'cumpra', 'requisito', 'dificilmente', 'aprovar', 'imagem', 'solicito', 'calibragem', 'bom', 'ferramentar', 'gerar', 'perca', 'tempo']",positive,positive
"Voltou a ser o lixo que era voce precisa entrar na sua carteira digital, ai manda para ca e quando voce vai entrar nao consegui pois o aplicativo esta bugado. Nao le o QR do documento pois trava ao termino da leitura, e quando vai por reconhecimento ele nao faz a leitura facial fica tentando ate esgotar o tempo. Fiquei mais de horas ate larga de mao e por isso perdi o asesso da carteira digital pois a mesma depende deste lixo le para altorizar a entrada.","['voltar', 'lixo', 'precisar', 'entrar', 'carteira', 'digital', 'manda', 'entrar', 'aplicativo', 'bugar', 'documento', 'trar', 'termino', 'leitura', 'reconhecimento', 'nao', 'fazer', 'leitura', 'facial', 'ficar', 'tentar', 'esgotar', 'tempo', 'fiquei', 'horas', 'ate', 'larga', 'mao', 'perdi', 'asesso', 'carteira', 'digital', 'pois', 'mesmo', 'depender', 'lixo', 'altorizar', 'entrada']",negative,negative
"Tenho título eleitoral, CNH e acesso o GOV BR Ouro no browser, tenho 30 anos de informática e simplesmente é um desprezo por parte do governo não atender seu usuário. O reconhecimento facial não funciona, já fiz todas tentativas possíveis... tudooo que se possa imaginar! Reclamação diversas e continuo sem suporte. Cabe danos morais, impossibilitado! ABSURDO!!!!","['ter', 'titulo', 'eleitoral', 'cnh', 'acesso', 'gov', 'ouro', 'browser', 'ano', 'informatico', 'simplesmente', 'desprezor', 'parte', 'governo', 'atender', 'usuario', 'reconhecimento', 'facial', 'funcionar', 'fiz', 'tentativa', 'possivel', 'poder', 'imaginar', 'diverso', 'continuo', 'suporte', 'caber', 'dano', 'moral', 'impossibilitar', 'absurdo']",negative,negative
Comprei um produto e foi taxado na fiscalização aduaneira e eu que tenho que pagar sem conta a demora que foi para me avisarem meu pedido ainda está lá parado nunca mais compro nada na shein a shopee e bem melhor eles tem todo custo de taxa só pago pelo produto e no máximo o envio na shein tive que pagar o produto o envio e agora a taxa da fiscalização uma falta de respeito com o consumidor nota 0 para este app nunca mais compro nada aqui.,"['comprar', 'produto', 'taxar', 'fiscalizacao', 'aduaneiro', 'pagar', 'conta', 'avisar', 'pedir', 'ainda', 'parar', 'nunca', 'compro', 'nada', 'sheinr', 'shopee', 'bem', 'bom', 'custo', 'taxa', 'pagar', 'produto', 'maximo', 'envio', 'sheinr', 'pagar', 'produto', 'envio', 'agora', 'taxa', 'fiscalizacao', 'faltar', 'respeito', 'consumidor', 'notar', 'appr', 'nunca', 'compro', 'nada', 'aqui']",positive,positive
"O app é excelente, mas a última atualização dele, está dando muitos erros na hora das edições e eu tenho que reiniciar o app várias vezes.","['app', 'excelente', 'ultimo', 'atualizacao', 'dar', 'erro', 'hora', 'edicoes', 'reiniciar', 'app', 'vez']",positive,positive
"Olá, boa tarde. Por gentileza, eu gostaria de solicitar uma nova atualização para esse aplicativo! Eu não consigo atualizar o meu endereço no app, simplesmente o campo de digitação é inoperante, não dá pra digitar o endereço e muito menos salvar. Corrijam esse erro urgentemente!","['ol', 'bom', 'tarde', 'gentileza', 'gostar', 'solicitar', 'novo', 'atualizacao', 'aplicativo', 'consigar', 'atualizar', 'endereco', 'simplesmente', 'campar', 'digitacao', 'inoperante', 'digitar', 'menos', 'salvar', 'erro', 'urgentemente']",negative,negative
"Recentemente o App está mostrando duas telas ao sair, 1 click para sair (tela modo escuro) 1 click para sair (tela modo claro). Cuidado, pois podem achar que encerrou o App e o mesmo permanece aberto. Corrijam por favor. Para segurança de todos os que utilizam. Att.","['recentemente', 'app', 'mostrar', 'tela', 'sair', 'click', 'sair', 'tela', 'modo', 'escuro', 'clickr', 'sair', 'tela', 'claro', 'cuidado', 'pois', 'poder', 'achar', 'encerrar', 'app', 'permanecer', 'aberto', 'corrijam', 'favor', 'seguranca', 'utilizar', 'att']",negative,positive
vejo que este aplicativo ante vírus está perturbando muito!.,"['vejo', 'aplicativo', 'ante', 'virus', 'perturbar']",positive,positive
"A basicamente 1 mês criei um Instagram para vender saltos e não consigo colocar destaques, isso é fundamental para o funcionamento da conta, fora que mandei mensagem para o suporte via e-mail ou pelo próprio app e nada de respostas! ( só consegui criar pelo notebook, e mesmo assim é limitado, não conseguimos colocar na ordem que queremos, e temos que que ficar repostando tudo novamente para depois criar um novo destaque, e assim conseguir adicionar, ou seja, algo fácil, está se tornando difícil)","['basicamente', 'criei', 'instagr', 'vender', 'salto', 'consigo', 'colocar', 'destaque', 'fundamental', 'funcionamento', 'contar', 'mandei', 'mensagem', 'Suporte', 'ver', 'mail', 'proprio', 'app', 'resposta', 'conseguir', 'criar', 'notebook', 'assim', 'limitar', 'conseguir', 'colocar', 'ordem', 'querer', 'ficar', 'repostar', 'novamente', 'criar', 'novo', 'destaque', 'assim', 'conseguir', 'adicionar', 'facil', 'tornar', 'dificil']",negative,negative
"Tá péssimo! Só quero excluir os dados do meu cartão e o app não dá essa opção; Aliás, nas configurações do cartão não há nada cadastrado mas ao finalizar uma eventual compra, os dados do cartão aparecem. Quero excluir! Ninguém resolve, já falei com vários atendentes, ouvidora e ninguém resolve uma coisa tão simples: excluir os dados do cartão. Até quando vão apenas orientar a esvaziar o cache e reinstalar o app, já fiz isto mil vezes.","['pessimo', 'so', 'querer', 'excluir', 'dado', 'cartao', 'alio', 'Configuracoes', 'cartao', 'nada', 'cadastrar', 'finalizar', 'eventual', 'compra', 'dar', 'cartao', 'aparecer', 'querer', 'excluir', 'resolver', 'falei', 'vario', 'atendente', 'ouvidorar', 'resolver', 'coisa', 'tao', 'simples', 'excluir', 'dado', 'cartao', 'vao', 'apenas', 'orientar', 'esvaziar', 'cache', 'reinstalar', 'fiz', 'vez']",positive,negative
"Estou tentando entrar no app a manhã toda e aparece uma mensagem dizendo para verificar minha conexão com a internet e claramente esse não é o problema, visto que dei uma olhada e várias pessoas estão com essa mesma questão. Uma pena, adoro esse app e sempre indico :(","['tentar', 'entrar', 'app', 'manha', 'aparecer', 'mensagem', 'dizer', 'verificar', 'claramente', 'problema', 'visto', 'dar', 'olhar', 'pessoa', 'mesmo', 'questao', 'pena', 'adoro', 'app', 'sempre', 'indico']",negative,negative
"Não tenho esse app, não quero esse app, e ele está tentando se instalar no meu aparelho o tempo todo, não consigo ficar 2 minutos sem esse app tentar se instalar, isso é vírus","['nao', 'querer', 'tentar', 'instalar', 'aparelho', 'tempo', 'consigo', 'ficar', 'minuto', 'tentar', 'instalar', 'virus']",positive,negative
"Horrível, quando precisamos usar nunca dá, fica pedindo atualização toda hora, a gente atualiza os documentos, tira as fotos que precisa e mesmo assim fica aguardando, até desistir.","['horrivel', 'precisar', 'usar', 'nunca', 'ficar', 'pedir', 'atualizacao', 'hora', 'gente', 'atualizar', 'documento', 'tirar', 'foto', 'precisar', 'assim', 'ficar', 'aguardar', 'desistir']",positive,positive
"Tinha o app em meu antigo celular, agora instalei em novo, porém não funciona. Senha de acesso está ok, funciona nos navegadores, só não funciona no aplicativo, onde aparece a mensagem ""Erro-001 Nao foi possivel autorizar seu acesso verifique suas credenciais e tente novamente Ok""","['ter', 'app', 'antigo', 'celular', 'agora', 'instalei', 'novo', 'por', 'funciono', 'ser', 'acesso', 'funcionar', 'navegador', 'funcionar', 'aplicativo', 'aparecer', 'mensagem', 'erro', 'nao', 'possivel', 'autorizar', 'acesso', 'verificar', 'credencial', 'tentar', 'novamente']",positive,positive
Minha experiência com a shein tá sendo uma das piores nesse momento. Toda vez que eu vou reclamar do meu pedido o aplicativo trava. A shein já foi uma das melhores ! Estou decepcionada e também não dá suport e ao cliente. Fui taxada em uma compra pequena horrível... nota 1,"['experiencia', 'shein', 'pior', 'momento', 'vez', 'reclamar', 'pedir', 'aplicativo', 'trar', 'shein', 'bom', 'decepcionado', 'suport', 'cliente', 'taxar', 'compra', 'pequeno', 'horrivel', 'nota']",negative,negative
"O aplicativo é MT bom pra editar, mais recentemente, minhas gravações estão dando bugs na hora de editar, o vídeo está normal, mais se cortar uma parte do vídeo, ele parece ficar congelado por um tempo, n consigo realizar minhas Edits.00000","['aplicativo', 'mt', 'bom', 'editar', 'recentemente', 'gravacoes', 'dar', 'bugs', 'hora', 'editar', 'video', 'normal', 'cortar', 'parte', 'video', 'parecer', 'ficar', 'congelar', 'tempo', 'consigo', 'realizar', 'edit']",negative,positive
"Literalmente o app precisa mudar bastante, minha autorizou a conta de menor e eu fui clica para concluir o cadastro, e mesmo assim continua o link de convite... muito frustrante isso, espero que arrumem esse problema.","['literalmente', 'app', 'precisar', 'mudar', 'bastante', 'autorizar', 'conta', 'pequeno', 'clica', 'concluir', 'cadastro', 'assim', 'continuar', 'linkr', 'convite', 'frustrante', 'esperar', 'arrumem', 'problema']",positive,neutral
"Ele me deixou na mão com minha apresentação na faculdade, pois mandei pelo PowerPoint para o professor para apresentar em slides no projetor de áudio e vídeo. Aí quando foi aberto pelo app, o vídeo que eu tinha inserido, não rodou e tive que improvisar... Tentei enviar de novo, refazendo a apresentação. E nada!","['deixar', 'apresentacao', 'faculdade', 'pois', 'Mandei', 'powerpoint', 'professor', 'apresentar', 'slide', 'projetor', 'audio', 'video', 'abrir', 'app', 'video', 'inserir', 'rodar', 'improvisar', 'tentar', 'enviar', 'novo', 'refazer', 'apresentacao']",positive,positive
"Eu amo o site, baixei o app e ele mantinha a mesma pegada, mas depois que assinei, vários problemas que não sei se é atualização ou o que aconteceu, como erros nos textos copiados e colados, difícil modificar um produto porque a aba se torna fantasma, deixa tudo mais demorado e incomodo","['amo', 'sitar', 'baixei', 'app', 'manter', 'mesmo', 'pegado', 'assinar', 'vario', 'problema', 'saber', 'atualizacao', 'acontecer', 'erro', 'texto', 'copiar', 'colar', 'dificil', 'modificar', 'produto', 'porque', 'abar', 'tornar', 'fantasma', 'deixar', 'demorar', 'incomodo']",negative,positive
"Felizmente é muito bom! Sendo que fico triste por travar em alguns modelos de celulares, e basicamente tudo é necessário do VIP algo que é ruim, aliás até dimensionar o tamanho da imagem é VIP, mesmo dando os dias gratuito (15-30), é meio chatinho para editar em alguns modelos de celulares, espero que resolvam isso, aliás, tentei fazer uma edição para uma rifa escolar e não consegui, por conta do VIP, Achei que o aplicativo era muito bom, por conta do marketing e divulgação, espero que melhorem","['felizmente', 'bom', 'fico', 'tristar', 'travar', 'modelo', 'celular', 'basicamente', 'necessario', 'vip', 'algo', 'ruim', 'alia', 'dimensionar', 'tamanho', 'imagem', 'dar', 'dia', 'gratuito', 'meio', 'chatinhar', 'editar', 'modelo', 'celular', 'esperar', 'resolr', 'alia', 'tentar', 'fazer', 'edicao', 'escolar', 'conseguir', 'contar', 'vip', 'achar', 'aplicativo', 'bom', 'conta', 'marketing', 'Divulgacao', 'esperar', 'melhor']",negative,positive
"Reconhecimento facial não funciona (e estou usando um celular Samsung S23!!). Tem que ter outras opções de login com senha+perguntas+sms. Se a foto da CNH (no sistema do Detran) estiver ruim o reconhecimento NUNCA vai funcionar!! Após resposta: Para variar, deram uma resposta padrão que não ajuda nada! É a solução do governo.... o usuário que se vire!!!","['reconhecimento', 'facial', 'funcionar', 'usar', 'celular', 'ter', 'ter', 'opcoes', 'login', 'ser', 'pergunta', 'sms', 'foto', 'sistema', 'ruim', 'reconhecimento', 'nunca', 'funcionar', 'apo', 'resposta', 'variar', 'dar', 'resposta', 'padrao', 'ajudar', 'solucao', 'governo', 'usuario', 'virir']",positive,positive
"Dá para encontrar muita coisa interessante e barata na shopee! O app em si é fácil de usar mas tem um defeito bem incômodo que é o de quando você fica bastante tempo procurando itens, o APP para de carregar novos anúncios e trava.","['encontrar', 'coisa', 'interessante', 'barato', 'shopee', 'facil', 'usar', 'defeito', 'bem', 'incomodo', 'ficar', 'tempo', 'procurar', 'item', 'app', 'carregar', 'novo', 'anuncio', 'trar']",positive,positive
"O app é ótimo! Só tem um probleminha toda vez que vou exportar o áudio para dentro do capcut ele fica saindo sozinho. Isso é muito chato, mas tirando isso o app é incrível!","['app', 'otimo', 'probleminha', 'vez', 'exportar', 'audio', 'dentro', 'ficar', 'sair', 'sozinho', 'chato', 'tirar', 'app', 'incrivel']",positive,negative
